Binary source ID,True distance [pc],True RA [deg],True Dec [deg],Primary stellar mass [M_\odot],Secondary stellar mass [M_\odot],Apparent stellar mass [M_\odot],Primary G-band mag,Secondary G-band mag,Apparent G-band mag,True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg]
10,74.19249,133.01581197155076,-36.43967471416673,0.45232,0.44681,0.59011,13.1481,13.19639,12.4194,296.9682,42.85849,0.17228,326.12464,54.41933,12.9267,5.23711,298.46377,42.40919,0.24521,337.61014,56.69267,20.07798,74.12846,74.15974,74.19097,297.80982,298.43677,299.08062,4.90012,5.30499,5.72393,0.11516,0.23327,0.36236,35.73663,43.81658,50.3028
11,295.00679,216.43423404593779,-57.47012344714591,0.40672,0.39327,0.54202,16.53833,16.64661,15.83854,2362.29023,77.42274,0.05235,134.38488,54.40973,62.29458,11.09055,2384.48716,76.39649,0.03173,66.73089,44.00651,1995.83106,293.90543,295.45929,297.01752,2329.11579,2396.1003,2467.03864,10.0913,11.30848,12.66384,0.04493,0.15794,0.36046,71.69259,77.61203,82.8813
12,173.67593,55.83052911584529,-50.62655259782299,0.80512,0.79909,0.90077,12.11889,12.17372,11.39338,2158.32585,151.82872,0.48316,202.76097,124.98475,342.70132,12.59764,2139.34954,144.67897,0.50268,214.11261,130.47731,366.1603,173.34689,173.50206,173.65684,2127.09878,2140.25906,2153.10227,12.22819,12.65671,13.09077,0.46112,0.5047,0.54817,140.07808,144.12237,148.76594
13,201.44235,261.7726707595586,71.49750515544646,0.34217,0.32611,0.47859,16.42323,16.54116,15.72802,2363.54473,77.4367,0.16612,202.27152,331.361,132.27652,9.21446,2373.75078,75.62855,0.10988,315.60143,157.26683,2087.71067,201.00972,201.5265,202.04976,2320.88172,2378.69284,2441.78678,8.53332,9.27273,10.02828,0.0434,0.13779,0.2715,70.62093,75.83644,80.58209
14,242.32556,319.51043289497636,8.37997028091518,0.36221,0.35306,0.46727,17.09213,17.19043,16.38759,1987.15604,28.77823,0.38443,205.57683,235.81614,190.27298,12.17734,2083.8179,42.38698,0.59811,304.82758,51.31743,1780.48287,242.25559,243.99587,245.75078,2019.83152,2088.99343,2158.2098,12.74866,36.58002,207.8582,0.63399,0.96766,0.99857,47.1068,72.74444,86.2341
15,663.96865,313.6600512853291,35.226719250886774,0.92519,0.91901,0.89097,13.9325,13.97213,13.19956,2920.0421,120.32153,0.36666,119.47782,314.08625,63.73122,10.31354,2770.10135,114.59912,0.56027,310.0269,145.37874,98.86771,665.92929,668.61002,671.36112,2677.98028,2908.54154,3471.31243,11.09632,30.36798,167.47594,0.76883,0.98273,0.99936,92.67331,101.95839,117.58622
16,267.97845,338.0569561196676,57.04478940896205,0.49139,0.48287,0.62375,15.968,16.04195,15.25177,2143.07419,108.58116,0.06227,239.07981,27.89756,36.56966,9.57506,2159.00707,115.99893,0.26269,80.93606,25.69818,1271.20622,265.7259,266.52199,267.28131,2110.97269,2160.64923,2211.31199,8.68245,9.61182,10.63534,0.1109,0.25562,0.4229,109.81758,116.13126,123.17941
17,95.80044,163.67383017851236,64.88690644207763,0.23607,0.21703,0.2731,16.99986,17.2235,16.35335,127.68832,134.66922,0.27414,85.15499,334.50756,18.11638,12.34939,128.06381,136.42367,0.49677,317.66144,176.62383,30.78044,95.39645,95.60232,95.81886,127.84979,128.09185,128.36706,11.41914,14.79921,38.87468,0.19366,0.59706,0.97039,107.0776,123.98765,139.05664
18,215.12406,138.4983532460665,-52.47693988990321,0.56231,0.55822,0.71045,14.56209,14.60337,13.82996,691.74593,112.89225,0.70317,94.18574,50.10489,74.36056,6.77849,689.34435,123.36209,0.58784,111.19822,59.81781,84.47491,214.9196,215.20582,215.48503,678.98488,689.14698,699.50592,6.45932,13.80913,51.8757,0.53843,0.92668,0.99461,94.68208,106.05737,124.57959
19,388.5478,93.04539101695335,-36.845377303300054,0.71163,0.70871,0.85237,14.33583,14.36491,13.5977,1899.79237,152.20837,0.13603,255.6861,255.56616,31.59351,8.05751,1907.6846,137.78158,0.20439,353.72876,112.61963,1296.93552,387.77571,388.66654,389.54637,1851.98607,1903.77535,1958.93494,7.45206,8.39957,9.47432,0.06646,0.21075,0.44257,124.26637,133.82911,145.29481
20,94.31138,289.66513194566403,39.403657101718785,0.19241,0.18815,0.28587,16.29993,16.36746,15.58059,749.27842,137.64717,0.48985,315.40309,145.29121,112.31024,3.34524,746.25963,151.75477,0.46217,27.54202,172.22251,196.33107,94.02572,94.20961,94.39968,734.99415,742.81661,751.11569,3.30096,3.92034,6.28016,0.29183,0.56133,0.88126,120.82699,135.02241,147.75456
21,263.91212,53.636754467380364,-58.101903642387434,0.51992,0.5116,0.64794,15.60078,15.67703,14.88566,985.88042,119.7322,0.10913,229.55956,103.95545,54.00334,11.37271,1002.77248,124.09571,0.12779,241.89353,103.10209,94.42796,263.72706,264.30923,264.91929,993.71722,1005.33948,1017.42211,10.36866,11.61947,12.93122,0.05244,0.17301,0.36613,114.98244,122.4778,131.57334
22,244.79292,139.43537162744582,33.292732480971914,0.36705,0.35007,0.4854,16.65315,16.79417,15.9688,1946.82369,140.05179,0.68746,322.78372,295.3575,0.0801,12.52301,1953.3649,135.2741,0.61711,158.23863,126.60708,15.87244,242.64925,243.92397,245.22086,1928.73657,1967.60434,2005.37788,12.20719,15.42774,46.23183,0.54269,0.83196,0.98774,108.82922,127.18764,141.40472
23,262.98861,249.56539813330042,-73.52394205312764,0.47218,0.46843,0.6356,15.53963,15.57906,14.80659,2762.61253,66.8657,0.49376,41.47515,301.21974,283.68688,6.65253,2524.78396,75.04136,0.58111,270.61043,119.90102,597.808,262.19883,262.85498,263.51259,2499.12445,2640.09669,2800.43556,4.85063,5.8342,9.2012,0.15012,0.44926,0.81328,68.54499,76.13239,82.92609
24,197.80264,127.40587951739882,67.37222241504662,0.36862,0.3602,0.48134,16.07712,16.14072,15.35588,1832.35231,146.0845,0.33396,268.3705,206.35929,62.74312,4.409,1831.29852,151.13708,0.44523,128.59062,45.92356,130.81044,197.44556,197.96847,198.50457,1796.90899,1833.86935,1874.26952,4.14664,4.7963,5.97226,0.26155,0.47862,0.74134,127.90495,139.14794,150.73719
25,114.41482,136.47654648574047,-67.1045345778322,0.84735,0.8416,0.90423,10.40157,10.44813,9.67203,777.34633,61.4887,0.52738,340.52422,331.63305,85.6027,12.60009,777.80853,54.51774,0.71211,132.99373,170.19628,74.58728,114.39137,114.45867,114.52574,775.44105,777.86076,780.32449,11.54813,13.01013,16.03771,0.63301,0.73774,0.85549,50.84116,55.76363,60.61957
26,205.78805,190.5235944029128,46.30768679564388,0.1828,0.17508,0.26529,17.74483,17.8743,17.05506,2819.73951,22.57616,0.41103,157.52607,299.48557,32.08879,5.93486,2809.78504,38.92655,0.34167,291.56313,158.75594,2743.81156,203.78622,205.10783,206.46939,2754.31235,2832.11096,2915.88238,5.34939,6.11308,7.1653,0.19837,0.36804,0.55313,32.45306,44.44905,54.84109
27,21.13839,243.49118839946414,-45.59504157734673,0.70286,0.7009,0.72588,9.26742,9.28663,8.52441,113.44969,89.57874,0.27588,50.34681,146.1903,0.9712,4.58391,113.10498,90.24533,0.71134,87.68453,150.03776,13.90355,21.13853,21.14208,21.14568,113.2439,113.47482,113.70056,3.27779,3.62138,4.06259,0.07656,0.24021,0.46149,84.98649,90.03485,94.89756
28,192.38242,342.7452645873094,60.83559884838162,0.54097,0.53555,0.68348,14.53348,14.58456,13.80615,2467.04886,129.69298,0.74077,201.18337,212.26895,391.86488,8.64715,2402.60117,146.95071,0.84595,10.61358,27.70838,359.9745,191.95569,192.17821,192.40564,2370.53421,2404.40664,2441.04916,8.74616,15.89459,47.66092,0.83239,0.96701,0.99627,101.82987,124.42655,143.06692
29,140.02656,46.48324929559884,-7.19913093401414,0.38887,0.3711,0.51346,15.4128,15.54449,14.72407,2693.1721,51.34437,0.14238,35.27559,68.00019,348.16232,11.98125,2728.64544,51.86929,0.1927,48.78094,66.88543,435.43088,139.99031,140.24431,140.49738,2701.1746,2730.81214,2761.42716,11.51509,11.95649,12.40475,0.13469,0.18915,0.24189,49.54264,51.88713,54.07556
30,169.51668,38.82955049293457,-71.45675926582047,0.31649,0.29837,0.44759,16.2,16.34618,15.51805,477.7372,76.72556,0.26594,163.27474,318.02512,38.27892,12.18405,482.41042,88.65998,0.50567,301.13374,133.6089,469.64789,169.43928,169.78152,170.13578,478.5159,482.68474,486.87041,11.78389,16.48119,44.25752,0.43096,0.7793,0.97743,83.33933,89.63674,95.54511
31,116.19801,205.47751047897788,38.759274148958696,0.24708,0.24256,0.35774,16.56106,16.61155,15.83344,2801.94317,54.67482,0.08839,79.88523,111.53426,100.93344,3.17299,2804.98422,48.86854,0.32007,37.36491,104.37632,2505.97438,115.87642,116.09985,116.32829,2745.98229,2814.65041,2892.86468,3.01521,3.2229,3.45468,0.23483,0.33293,0.43177,42.93631,50.45593,57.25955
32,77.38156,3.5948396804548417,-48.921485396070366,0.14598,0.13885,0.13073,17.74327,17.97159,17.09886,1168.60432,41.7951,0.01522,35.58865,248.19198,30.04048,7.16003,1172.61469,43.67021,0.09546,50.08044,75.93314,688.44571,77.2587,77.45034,77.64381,1168.69058,1172.59532,1176.64413,6.96058,7.17845,7.4001,0.03402,0.0797,0.13241,39.56766,43.84498,47.72046
33,165.57055,299.6364571824215,-71.44162392635589,0.40492,0.39678,0.54018,15.36807,15.43318,14.64756,327.58619,146.09756,0.18691,74.9519,131.26607,24.33898,7.63553,325.76057,145.75114,0.37521,80.57691,79.6685,80.54805,165.51998,165.77782,166.0215,324.15671,325.80842,327.47471,7.41878,9.0078,15.92092,0.23132,0.52221,0.9136,115.47531,130.71072,144.74491
34,196.33663,44.92957091013363,13.485819302608984,0.26476,0.24606,0.36707,17.11401,17.28685,16.44442,1231.3893,135.69991,0.33682,235.79505,314.06911,45.17113,10.02803,1272.73914,133.71551,0.53176,10.33293,0.86448,396.39429,194.1919,195.47897,196.7339,1255.25735,1285.80978,1318.02735,10.81409,20.09157,88.04292,0.54473,0.92324,0.99569,96.10274,110.12606,130.5823
35,133.70878,189.84206162581134,-44.17713998301241,1.14863,1.13944,1.21119,9.43271,9.47454,8.70084,515.36101,120.78483,0.00747,57.22608,66.2164,13.7238,11.41276,509.58765,127.78528,0.15959,283.69609,55.5548,352.4157,133.48233,133.61306,133.74065,507.37712,509.82778,512.22455,10.41461,11.53225,12.69482,0.05625,0.16874,0.32426,120.08885,127.03267,135.26752
36,133.65948,133.8604856973209,63.6834315994628,0.36003,0.35093,0.46255,15.82056,15.94484,15.12835,3832.97712,120.10771,0.22419,282.30704,276.77999,253.27723,12.36958,3643.25119,123.89137,0.1734,105.27568,97.77626,273.65559,133.50316,133.73055,133.95195,3550.2289,3651.71308,3775.446,12.0875,12.38934,12.71064,0.12945,0.17464,0.22049,121.91869,123.72749,125.62639
37,104.65231,179.95293461336044,-11.2759172432982,0.29422,0.28815,0.4194,15.3512,15.40591,14.62564,3026.20728,50.89222,0.54795,222.88693,319.57466,20.44861,3.70455,2944.26385,59.63494,0.35028,51.02682,144.98006,161.45171,104.3402,104.48499,104.63167,2873.9151,2952.21561,3049.68585,3.51646,3.78528,4.08078,0.26948,0.37955,0.50387,55.58815,60.61294,65.07859
38,161.03112,270.92443539640925,-58.45558316727987,0.46764,0.46504,0.62148,14.84382,14.86723,14.10289,1580.47329,104.85084,0.42654,305.98889,78.53775,251.53849,4.8267,1585.62191,109.91807,0.81233,311.49248,67.52383,308.93907,160.82573,161.05205,161.28697,1555.46878,1583.41521,1611.87748,4.77978,13.36969,73.95678,0.84153,0.99054,0.99969,92.01743,100.04414,114.22901
39,110.98738,243.59402260145902,-25.31528510893006,0.14384,0.13568,0.21664,17.92829,18.16711,17.28857,457.21862,72.05,0.02859,134.77734,233.54437,57.70967,11.89636,455.97341,66.95405,0.31871,152.62331,48.29884,292.98397,109.77371,110.39078,111.03239,452.25358,456.35099,460.30275,11.48212,15.67868,74.39743,0.179,0.72049,0.99448,59.67203,73.32736,84.47466
40,97.51246,205.4395531707938,0.7129211886057407,0.2424,0.22706,0.34655,16.08384,16.25461,15.4133,1139.74041,154.68617,0.64187,4.1931,316.16861,82.1169,9.32793,1139.79887,163.65372,0.6734,203.33158,155.15767,77.50047,97.37476,97.55079,97.73004,1134.32858,1139.40767,1144.41978,9.17556,9.79741,10.54208,0.62288,0.68662,0.74986,146.11224,153.27602,160.96465
41,254.78896,276.36856412787125,-5.213796515167755,0.69273,0.68857,0.82215,13.70202,13.74701,12.97171,926.73396,81.28276,0.56638,282.38514,345.83878,20.25163,11.40448,917.38266,78.54414,0.83392,106.89413,139.84175,911.75858,253.63464,254.17388,254.7204,898.47232,912.25219,925.85786,7.29313,18.79198,83.12419,0.56627,0.96491,0.99816,71.93154,85.48153,90.03569
42,156.7037,269.2677851511273,38.5974387634211,0.1516,0.13245,0.1014,18.45052,18.86347,17.8849,1157.58873,65.076,0.22702,308.57308,290.93328,27.93014,9.81403,1141.67407,61.55398,0.33427,187.41272,108.18133,201.70309,155.07846,156.12055,157.15396,1127.70845,1143.29401,1159.91093,8.90751,10.07638,11.89536,0.09518,0.29789,0.68612,52.43399,61.55133,69.00799
43,490.93085,7.503236311505425,58.59775825862893,0.65724,0.65161,0.76873,15.65733,15.7132,14.93233,2359.62502,88.95435,0.37048,49.4877,13.71373,329.78969,11.82558,2406.30505,88.67573,0.59897,228.35758,15.51304,1527.20309,489.60947,492.06513,494.58962,2294.22115,2387.05363,2469.82517,10.41179,13.34393,44.74577,0.25,0.7295,0.99134,82.82202,89.26474,95.81901
44,111.55938,96.61963644993797,-21.836185985439688,0.1949,0.18892,0.29291,17.18111,17.26908,16.47163,999.48778,133.66559,0.21493,164.53483,51.73565,121.7267,4.39402,998.90971,137.74409,0.29901,172.37573,79.62204,63.3497,110.96756,111.25146,111.53599,988.04424,998.94092,1009.70729,4.18183,4.61448,5.16461,0.12791,0.31545,0.54426,123.27911,133.93224,146.25013
45,707.91738,194.39070704973858,42.72696861021164,1.07314,1.06844,1.1477,13.74315,13.76877,13.00331,3454.39547,18.53116,0.28895,176.95332,242.75451,336.94702,9.45982,3218.08438,51.15432,0.2017,125.36112,43.43833,1407.08383,705.04914,708.26004,711.47553,3093.04692,3243.12274,3466.63358,8.24564,9.63104,11.2319,0.0766,0.23477,0.45976,39.57529,51.50925,59.93326
46,323.69514,43.46051832377859,41.93993321943811,0.46578,0.45733,0.61466,16.49333,16.56976,15.7783,2349.44633,57.79513,0.57389,32.64669,347.02435,146.81703,9.97349,2391.42806,51.40143,0.43807,191.0848,170.44753,8.01337,321.53821,323.52614,325.57969,2299.62634,2406.40369,2562.37254,9.92274,11.98327,32.22657,0.29808,0.64064,0.97323,47.70855,62.84338,77.32976
47,326.26873,100.03653489692509,6.795285120587417,0.58788,0.57993,0.67248,15.76811,15.84101,15.05137,2890.1784,69.37775,0.31528,177.04702,358.40145,203.41978,12.40894,3007.26341,76.75246,0.52496,182.55065,5.43573,241.88496,324.21076,325.76669,327.31407,2934.87362,3140.37203,3457.81976,12.67178,25.46447,228.47808,0.64193,0.98818,0.99984,63.67299,78.90313,87.48031
48,110.53539,316.18860918752137,-27.395076901145366,0.77517,0.76789,0.89756,11.17243,11.23102,10.44876,412.53282,30.14648,0.30179,31.35423,152.89161,18.90358,11.34569,413.43442,19.00436,0.26927,60.79065,147.07349,49.42397,110.49339,110.59574,110.69675,412.32116,413.4294,414.54218,11.16699,11.96194,12.83943,0.15607,0.2667,0.38503,21.91923,30.64788,38.91859
49,288.64122,345.35871223555284,62.164437454371686,0.74934,0.74421,0.85791,13.62399,13.67667,12.89744,2419.84938,59.01052,0.82126,176.90162,348.30027,319.73338,11.16312,2396.13076,62.33616,0.8538,351.27449,163.87612,293.34469,288.57151,289.03946,289.50466,2359.88609,2398.65653,2439.94995,11.06464,22.58701,95.41793,0.84078,0.99059,0.99947,53.54723,69.3219,82.92714
50,38.96096,357.216059411293,-53.15737754039691,0.16465,0.15595,0.2364,14.45158,14.59471,13.76822,1384.15457,106.00478,0.64581,95.24192,133.13339,211.70261,5.50956,1386.998,105.69244,0.64338,93.59318,133.7729,204.2105,38.948,38.95826,38.96873,1384.82408,1387.04455,1389.30902,5.36504,5.51092,5.66321,0.62173,0.64383,0.66506,105.19749,105.69322,106.17834
51,133.45488,173.66091310921098,34.40520789699529,0.31172,0.30427,0.44244,15.98448,16.05767,15.26788,878.57536,121.44865,0.55514,340.30479,209.18759,49.52576,9.40669,885.44935,102.70196,0.79819,89.20232,30.74699,775.29317,133.27097,133.56493,133.85849,880.60331,889.49746,899.68677,7.18885,17.30381,62.17261,0.61387,0.94918,0.99563,91.70655,96.34862,106.75352
52,70.04402,317.576573470248,30.67227554841053,0.12946,0.1241,0.1414,17.25667,17.41808,16.5818,417.46217,117.86885,0.46894,296.91117,156.40787,56.12122,5.79309,413.46928,127.34007,0.61971,293.51009,167.09656,25.99688,69.67953,69.8784,70.07471,408.40227,415.21909,421.17241,5.2993,9.71557,38.30888,0.50028,0.89044,0.99177,97.8997,113.37065,128.79641
53,81.34248,11.824246225759353,29.504108708277258,0.21373,0.19363,0.3129,16.06219,16.31195,15.42733,802.98348,63.48715,0.22838,106.43199,205.98937,50.8569,12.03975,801.36873,66.91435,0.2535,278.49513,22.39664,32.57674,81.20209,81.31666,81.42816,798.4051,801.16955,803.9254,11.64071,12.06809,12.51515,0.17787,0.24669,0.3162,64.48554,66.93847,69.37233
54,94.54455,137.3642822152957,-16.252373723399188,0.31367,0.30742,0.43518,15.37923,15.4412,14.6572,1103.34755,85.63748,0.79008,318.2738,307.43,169.8739,5.75693,1112.96401,82.69145,0.79436,114.78617,128.98405,87.32105,94.46176,94.56978,94.68061,1096.11336,1107.92505,1119.86584,5.40145,11.2663,32.18551,0.75874,0.95569,0.99455,81.42134,86.2604,88.85032
55,79.21701,314.5011565520364,4.387080788112077,0.25365,0.24656,0.3755,14.97183,15.03985,14.25273,3503.28128,105.07947,0.85933,185.91468,225.44122,258.20925,4.66946,3642.31267,98.72567,0.61583,352.01881,43.15033,200.90563,79.0887,79.16128,79.22992,3642.80624,3845.03591,4082.58444,4.77098,5.93064,8.67717,0.69482,0.94707,0.99217,98.65252,103.47957,113.60396
56,161.25728,292.875533126074,37.6712632668013,0.36423,0.34861,0.48075,15.9297,16.06378,15.24209,1172.56836,58.41752,0.25994,265.56521,42.47941,148.91841,11.73296,1162.28573,66.37617,0.46247,263.22681,37.32862,129.48304,160.51598,160.81591,161.11361,1152.64646,1162.13646,1171.68195,10.52235,11.6578,13.19629,0.30688,0.44935,0.59037,61.44736,66.25592,70.75018
57,195.44525,103.16023452096105,6.071104102282595,0.35282,0.34625,0.48004,16.30042,16.36491,15.57961,2450.91609,53.90561,0.423,293.44746,110.43324,122.13221,7.69252,2323.80183,48.89699,0.5388,316.99539,106.16041,264.70255,195.45837,196.20412,196.9955,2188.68534,2335.92904,2479.88388,7.60018,11.59219,39.37797,0.49962,0.84714,0.98794,47.57819,61.53677,78.87724
58,138.26073,340.2921723642551,-2.3531277810017053,0.5343,0.5237,0.64773,14.38342,14.47359,13.67499,609.31211,116.16641,0.05471,111.54689,297.20668,72.83467,12.16358,609.78258,119.92681,0.13548,326.84429,130.34995,116.01931,137.97015,138.15327,138.33731,607.17116,609.62711,612.06371,11.63414,12.32774,13.03589,0.05107,0.13188,0.22702,114.03484,119.09609,124.74326
59,127.74741,272.6543570206004,-7.571930155143669,0.38627,0.38068,0.48259,15.56018,15.6311,14.84248,1585.46131,110.31803,0.64459,40.93479,200.97638,168.36238,6.99078,1582.98509,108.40369,0.50106,223.59083,14.1908,184.76565,127.53202,127.75822,127.98115,1566.12244,1582.93723,1599.79554,6.52339,7.08627,7.85131,0.39444,0.5164,0.65171,103.10602,107.84904,112.72498
60,92.73589,205.51811582582218,-55.672779423207245,0.24611,0.23279,0.35127,15.96472,16.11812,15.28614,790.91218,133.86471,0.80108,263.87786,108.19392,85.99795,7.18692,790.95879,149.66852,0.69989,242.1983,91.26557,71.48128,92.55283,92.67203,92.79006,785.61998,790.7928,795.49846,6.89985,8.55214,15.49824,0.65106,0.79141,0.94188,117.38029,137.63018,150.70485
61,159.36707,273.1175377158432,67.68418669461214,0.47131,0.46663,0.59854,15.1369,15.17639,14.40389,2842.09604,94.47886,0.0508,220.31659,101.51308,338.84424,4.97217,2916.79403,99.31008,0.15334,159.76957,95.79949,2833.58517,158.9094,159.08162,159.25648,2871.99336,2930.57632,2994.1446,4.64981,4.99119,5.37137,0.0577,0.17689,0.36185,95.75873,99.33855,103.17621
62,126.51794,84.61595027206093,-1.3703912640622076,0.20722,0.18835,0.29613,17.16351,17.42027,16.53174,872.42964,105.89024,0.26696,140.33247,225.09028,122.71017,11.46946,864.30792,99.12168,0.30733,25.05653,40.56848,296.3181,126.06333,126.58191,127.11249,853.90564,864.12864,874.82662,10.53269,12.27199,18.36256,0.14741,0.41267,0.95111,92.44327,99.04593,106.74914
63,134.03621,232.69124924891352,-56.45463718416471,0.58541,0.57499,0.69211,13.63115,13.73367,12.92863,264.3936,102.89609,0.88493,143.62531,93.71854,30.78526,10.29085,267.14329,107.14927,0.54621,168.88371,93.36307,30.95367,134.1242,134.26112,134.4037,265.64169,266.8388,268.23147,11.33532,23.80855,119.70463,0.68893,0.98308,0.99927,93.30185,102.13316,115.23305
64,85.50419,184.38543623078752,43.925242741709106,0.13264,0.12588,0.19489,17.36434,17.55806,16.70431,237.75484,32.88697,0.37486,8.92489,220.42101,37.40123,7.94539,237.98751,35.08481,0.22816,47.17701,90.33389,222.67623,85.17914,85.39025,85.60104,236.99059,237.77577,238.5848,7.62996,8.96276,12.18604,0.11969,0.36104,0.79505,32.66077,44.72249,55.50734
65,44.94685,287.2868289579586,-31.72420911625982,0.37479,0.36847,0.44306,13.61977,13.69962,12.90639,290.74029,126.46349,0.0684,247.86958,152.12193,22.50101,8.77047,290.95371,120.12523,0.16096,271.82416,147.18579,43.8727,44.9438,44.95997,44.97591,290.67109,290.93588,291.19448,8.52068,8.77164,9.02714,0.10765,0.15507,0.20244,117.74313,120.07003,122.56428
