Binary source ID,True distance [pc],True RA [deg],True Dec [deg],Primary stellar mass [M_\odot],Secondary stellar mass [M_\odot],Apparent stellar mass [M_\odot],Primary G-band mag,Secondary G-band mag,Apparent G-band mag,True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg]
0,167.72524,284.71914859115276,-62.41411486952882,0.2218,0.21082,0.33194,17.83439,17.95652,17.14116,1029.20899,164.47439,0.45241,61.55109,167.39187,3.58683,9.09822,996.08,144.77369,0.11967,99.35936,107.71389,293.69557,167.95181,168.97497,169.95305,980.8576,997.04369,1012.9513,9.07181,10.79021,15.04714,0.0979,0.34542,0.83095,117.31096,130.70069,144.79259
1,139.25823,98.9449983393247,-23.98352766986014,0.21393,0.20924,0.31206,16.85865,16.91286,16.13284,1486.45536,119.45122,0.11316,127.6118,249.06964,222.93298,2.82499,1484.28832,117.8033,0.32579,170.64736,94.47205,1057.75082,139.11477,139.48049,139.83273,1450.0883,1483.93339,1520.59503,2.78163,3.5391,11.39485,0.2468,0.67646,0.98716,97.84202,110.88884,126.46107
2,244.31109,35.672040538309304,51.24452467376619,0.38525,0.3736,0.52384,16.6722,16.7707,15.96776,2715.85921,123.99831,0.14515,150.3766,316.5024,265.3092,10.16312,2812.35378,125.09889,0.25886,27.9281,130.01403,772.73126,242.97146,244.14969,245.3478,2739.06633,2824.94374,2922.64803,9.32167,10.35443,11.56832,0.11658,0.26964,0.46388,116.28032,123.19532,131.51166
3,446.24519,197.02690096052203,-81.16164597054482,0.69677,0.69053,0.81137,15.01213,15.07572,14.29088,1189.25448,70.44201,0.45111,21.33485,359.73663,118.94678,11.03169,1205.75119,53.48383,0.43172,326.97817,13.04635,27.80507,445.0068,446.45584,447.88679,1166.81338,1187.55794,1207.42923,13.87553,40.62589,157.36758,0.76104,0.98377,0.99879,52.69133,73.49243,85.20916
4,149.52756,91.0805807530446,-49.18708685261381,1.27488,1.27041,1.51691,8.94114,8.96257,8.19923,1652.29136,79.90255,0.3228,328.16848,41.8321,36.17597,9.06028,1552.00317,65.79157,0.54714,270.30137,33.79775,1359.75921,149.0069,149.21542,149.42637,1520.86458,1553.40476,1592.56827,7.63501,9.90912,25.12843,0.21955,0.6387,0.96081,61.2644,71.12192,80.75708
5,75.0105,153.2089558756908,0.8103201725274705,0.48003,0.47211,0.61459,13.30532,13.37437,12.58672,958.6404,132.55849,0.5505,106.1968,82.90664,31.93696,8.84809,956.75333,133.78837,0.52786,117.29067,89.19271,43.95234,74.94464,74.99063,75.03658,954.00391,956.88215,959.93167,8.38305,8.88064,9.44088,0.46558,0.5271,0.59344,130.33973,133.39913,136.73737
6,99.95385,147.9180868316444,84.99348555751956,0.30779,0.29524,0.43355,14.78781,14.87768,14.07924,391.70687,125.96354,0.00329,182.91351,206.56446,45.55392,5.25263,389.9363,126.90022,0.43855,43.8777,28.87685,92.04291,99.8111,99.89857,99.99636,387.38396,389.58196,391.5247,4.69142,5.38298,6.7322,0.16836,0.39437,0.74042,116.83812,125.59563,135.37762
7,149.67119,40.09831329712216,-18.466214523484485,0.30709,0.29975,0.4307,16.36327,16.43929,15.64804,3086.22596,33.77931,0.28274,209.01867,243.91001,265.37373,6.27582,3154.39974,36.39005,0.26374,75.57083,39.06541,450.03203,148.82249,149.22058,149.62619,3041.90006,3186.15365,3406.60951,5.94394,6.39513,6.90994,0.1587,0.27669,0.40812,31.45698,39.66685,46.62925
8,97.95382,106.52572380357499,-26.521492197429126,0.20237,0.19488,0.29215,16.35259,16.4568,15.65087,384.6202,29.17623,0.42812,71.22036,55.47424,46.40911,5.10219,383.81254,48.46153,0.26555,115.82643,61.96335,113.8597,97.71916,97.8792,98.04093,381.58842,383.59849,385.51712,4.5609,5.25289,6.1393,0.09339,0.2731,0.52863,38.73775,51.04616,61.00926
9,102.27482,173.9534730450087,45.153010182473416,0.71877,0.71376,0.85444,11.40999,11.45821,10.68126,698.58555,111.8134,0.46933,293.11103,190.75837,89.87326,11.16182,697.56214,113.97823,0.65033,108.45502,9.59333,88.89398,102.21891,102.29966,102.38044,695.38045,697.84948,700.41883,10.02236,11.0653,12.5773,0.54573,0.64044,0.73387,110.44877,113.67747,117.26268
